"V1","V5","V6","V7","V8"
2.346,673,674.8494,160653.8,533.2888
2.347,673,674.8544,160674.4,533.3387
2.348,673,674.8594,160695,533.3887
2.349,673,674.8643,160715.7,533.4388
2.35,673,674.8693,160736.4,533.489
2.351,673,674.8743,160757.2,533.5393
2.352,673,674.8793,160778,533.5897
2.353,673,674.8844,160798.8,533.6402
2.354,673,674.8894,160819.7,533.6907
2.355,673,674.8944,160840.7,533.7414
2.356,673,674.8995,160861.7,533.7922
2.357,673,674.9045,160882.7,533.843
2.358,673,674.9096,160903.8,533.894
2.359,673,674.9147,160924.9,533.945
2.36,673,674.9198,160946,533.9962
2.361,673,674.9249,160967.3,534.0474
2.362,673,674.93,160988.5,534.0987
2.363,673,674.9351,161009.8,534.1501
2.364,673,674.9403,161031.1,534.2016
2.365,673,674.9454,161052.5,534.2532
2.366,673,674.9505,161073.9,534.3049
2.367,673,674.9557,161095.4,534.3567
2.368,673,674.9609,161116.9,534.4086
2.369,673,674.9661,161138.5,534.4605
2.37,673,674.9712,161160.1,534.5126
2.371,673,674.9764,161181.7,534.5647
2.372,673,674.9817,161203.4,534.617
2.373,673,674.9869,161225.1,534.6693
2.374,673,674.9921,161246.9,534.7217
2.375,673,674.9973,161268.7,534.7742
2.376,673,675.0026,161290.5,534.8268
2.377,673,675.0078,161312.4,534.8795
2.378,673,675.0131,161334.4,534.9322
2.379,673,675.0184,161356.3,534.9851
2.38,673,675.0237,161378.4,535.038
2.381,673,675.029,161400.4,535.091
2.382,673,675.0343,161422.5,535.1441
2.383,673,675.0396,161444.7,535.1973
2.384,673,675.0449,161466.8,535.2506
2.385,673,675.0502,161489.1,535.3039
2.386,673,675.0556,161511.3,535.3574
2.387,673,675.0609,161533.7,535.4109
2.388,673,675.0663,161556,535.4645
2.389,673,675.0716,161578.4,535.5182
2.39,673,675.077,161600.8,535.572
2.391,673,675.0824,161623.3,535.6259
2.392,673,675.0878,161645.8,535.6798
2.393,673,675.0932,161668.3,535.7338
2.394,673,675.0986,161690.9,535.7879
2.395,673,675.104,161713.5,535.842
2.396,673,675.1094,161736.2,535.8962
2.397,673,675.1149,161758.9,535.9505
2.398,673,675.1203,161781.6,536.0049
2.399,673,675.1258,161804.4,536.0594
2.4,673,675.1312,161827.2,536.1139
2.401,673,675.1367,161850,536.1685
2.402,673,675.1422,161872.9,536.2232
2.403,673,675.1477,161895.8,536.278
2.404,673,675.1531,161918.8,536.3328
2.405,673,675.1587,161941.8,536.3878
2.406,673,675.1642,161964.8,536.4428
2.407,673,675.1697,161987.9,536.4978
2.408,673,675.1752,162011,536.553
2.409,673,675.1807,162034.2,536.6082
2.41,673,675.1863,162057.4,536.6635
2.411,673,675.1918,162080.6,536.7189
2.412,673,675.1974,162103.9,536.7744
2.413,673,675.203,162127.2,536.8299
2.414,673,675.2085,162150.5,536.8855
2.415,673,675.2141,162173.9,536.9412
2.416,673,675.2197,162197.3,536.9969
2.417,673,675.2253,162220.7,537.0527
2.418,673,675.2309,162244.2,537.1086
2.419,673,675.2366,162267.7,537.1645
2.42,673,675.2422,162291.3,537.2205
2.421,673,675.2478,162314.9,537.2766
2.422,673,675.2534,162338.5,537.3328
2.423,673,675.2591,162362.2,537.389
2.424,673,675.2647,162385.9,537.4453
2.425,673,675.2704,162409.6,537.5016
2.426,673,675.2761,162433.3,537.558
2.427,673,675.2817,162457.1,537.6145
2.428,673,675.2874,162481,537.671
2.429,673,675.2931,162504.8,537.7276
2.43,673,675.2988,162528.7,537.7843
2.431,673,675.3045,162552.6,537.841
2.432,673,675.3102,162576.6,537.8978
2.433,673,675.316,162600.6,537.9547
2.434,673,675.3217,162624.6,538.0116
2.435,673,675.3274,162648.7,538.0686
2.436,673,675.3332,162672.8,538.1257
2.437,673,675.3389,162697,538.1828
2.438,673,675.3447,162721.1,538.24
2.439,673,675.3504,162745.3,538.2972
2.44,673,675.3562,162769.6,538.3545
2.441,673,675.362,162793.8,538.4119
2.442,673,675.3678,162818.1,538.4693
2.443,673,675.3736,162842.4,538.5268
2.444,673,675.3793,162866.8,538.5843
2.445,673,675.3851,162891.2,538.6419
2.446,673,675.391,162915.6,538.6996
2.447,673,675.3968,162940.1,538.7572
2.448,673,675.4026,162964.5,538.815
2.449,673,675.4084,162989.1,538.8728
2.45,673,675.4143,163013.6,538.9307
2.451,673,675.4201,163038.2,538.9886
2.452,673,675.426,163062.8,539.0466
2.453,673,675.4318,163087.4,539.1046
2.454,673,675.4377,163112.1,539.1627
2.455,673,675.4435,163136.8,539.2209
2.456,673,675.4494,163161.5,539.2791
2.457,673,675.4553,163186.3,539.3373
2.458,673,675.4612,163211,539.3956
2.459,673,675.4671,163235.9,539.454
2.46,673,675.473,163260.7,539.5124
2.461,673,675.4789,163285.6,539.5709
2.462,673,675.4848,163310.5,539.6294
2.463,673,675.4907,163335.5,539.688
2.464,673,675.4966,163360.4,539.7467
2.465,673,675.5026,163385.4,539.8054
2.466,673,675.5085,163410.5,539.8641
2.467,673,675.5145,163435.5,539.9229
2.468,673,675.5204,163460.6,539.9818
2.469,673,675.5264,163485.7,540.0407
2.47,673,675.5323,163510.9,540.0997
2.471,673,675.5383,163536.1,540.1587
2.472,673,675.5443,163561.3,540.2177
2.473,673,675.5503,163586.5,540.2768
2.474,673,675.5563,163611.8,540.336
2.475,673,675.5622,163637.1,540.3952
2.476,673,675.5682,163662.4,540.4544
2.477,673,675.5742,163687.7,540.5137
2.478,673,675.5803,163713.1,540.573
2.479,673,675.5863,163738.5,540.6324
2.48,673,675.5923,163763.9,540.6918
2.481,673,675.5983,163789.4,540.7512
2.482,673,675.6043,163814.8,540.8107
2.483,673,675.6104,163840.3,540.8703
2.484,673,675.6164,163865.9,540.9299
